"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
"NAGATO272","\Microsoft\VisualStudio\Updates\BackgroundDownload","N/D","Pronta","Solo interattivo","03/10/2024 21:11:08","0","Microsoft Visual Studio","C:\Program Files (x86)\Microsoft Visual Studio\Installer\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\BackgroundDownload.exe ","N/D","N/D","Abilitata","Avvia solo se inattivo da 10 minuti, Se non inattivo riprova per 60 minuti","Non avviare se il sistema Š alimentato a batterie","basti","Disabilitata","24:00:00","Dati di pianificazione non disponibili in questo formato.","Durante il periodo di inattivit…","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
"NAGATO272","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319","N/D","Pronta","Interattivo/Background","03/10/2024 20:46:02","0","N/D","Gestore COM","N/D","N/D","Abilitata","Disabilitata","Interrompi in modalit… di alimentazione a batterie, Non avviare se il sistema Š alimentato a batterie","SYSTEM","Disabilitata","02:00:00","Dati di pianificazione non disponibili in questo formato.","Solo su richiesta","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"NAGATO272","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64","N/D","Pronta","Interattivo/Background","03/10/2024 20:46:02","0","N/D","Gestore COM","N/D","N/D","Abilitata","Disabilitata","Interrompi in modalit… di alimentazione a batterie, Non avviare se il sistema Š alimentato a batterie","SYSTEM","Disabilitata","02:00:00","Dati di pianificazione non disponibili in questo formato.","Solo su richiesta","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"NAGATO272","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical","N/D","Disabilitato","Interattivo/Background","12/09/2024 04:43:10","0","N/D","Gestore COM","N/D","N/D","Disabilitata","Disabilitata","","SYSTEM","Disabilitata","02:00:00","Dati di pianificazione non disponibili in questo formato.","Durante il periodo di inattivit…","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"NAGATO272","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 Critical","N/D","Disabilitato","Interattivo/Background","12/09/2024 04:43:10","0","N/D","Gestore COM","N/D","N/D","Disabilitata","Disabilitata","","SYSTEM","Disabilitata","02:00:00","Dati di pianificazione non disponibili in questo formato.","Durante il periodo di inattivit…","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D","N/D"
"Nome host","Nome attivit…","Prossima esecuzione","Stato","Modalit… accesso","Ultima esecuzione","Ultimo esito","Autore","Attivit… da eseguire","Avvio in","Commento","Stato attivit… pianificata","Tempo di inattivit…","Risparmio energia","Esegui come utente","Elimina l'attivit… se non ripianificata","Interrompi l'attivit… se Š in esecuzione da X ore e X minuti","Pianificazione","Tipo di pianificazione","Ora di avvio","Data di avvio","Data di fine","giorni","mesi","Ripeti: Ogni","Ripeti: Fino a: Ora","Ripeti: Fino a: Durata","Ripeti: Interrompi se ancora in esecuzione"
"NAGATO272","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)","N/D","Disabilitato","Interattivo/Background","30/11/1999 00:00:00","267011","Microsoft Corporation","Gestore COM","N/D","Aggiorna i modelli dei criteri dei diritti AD RMS per l'utente. Con questo processo non viene visualizzato un messaggio di richiesta delle credenziali se l'autenticazione per il servizio Web di distribuzione dei modelli nel server non riesce. In questo ","Disabilitata","Disabilitata","","Everyone","Disabilitata","01:00:00","Dati di pianificazione non disponibili in questo formato.","Ogni giorno ","03:00:00","09/11/2006","N/D","Ogni 1 giorni","N/D","Disabilitata","Disabilitata","Disabilitata","Disabilitata"
