19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699355698.3680305;2023-11-07 12:14:58.006946;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699355884.8015199;2023-11-07 12:18:04.425208;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699355888.9432101;2023-11-07 12:18:08.566497;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699355914.2735379;2023-11-07 12:18:33.913400;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699355918.3688352;2023-11-07 12:18:38.008195;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699356131.6073937;2023-11-07 12:22:11.241108;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699356136.3268287;2023-11-07 12:22:15.953818;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699356315.7105217;2023-11-07 12:25:15.349906;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699356347.5618644;2023-11-07 12:25:47.201175;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699356354.2743342;2023-11-07 12:25:53.915203;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699356509.9635308;2023-11-07 12:28:29.602460;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699356770.5574474;2023-11-07 12:32:50.196820;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699356798.9403884;2023-11-07 12:33:18.579336;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699356902.2655158;2023-11-07 12:35:01.903953;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699356909.4778943;2023-11-07 12:35:09.116844;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699356955.3356397;2023-11-07 12:35:54.959445;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699356980.8416553;2023-11-07 12:36:20.472947;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699357047.8648412;2023-11-07 12:37:27.488148;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\xml_commit\package\ansic.py;1699357084.9894726;2023-11-07 12:38:04.612736;
user;pc;versione_python;name_program;timestamp;localtime;
